true/pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,1393,4,1063,17,74,31,10,140,8,209,51
AM-DSB,1,1671,754,1,6,58,3,0,0,1,505
AM-SSB,1,5,2938,1,11,3,3,0,0,0,38
BPSK,37,8,1064,1722,13,21,82,17,4,10,22
CPFSK,12,7,1019,4,1830,52,3,15,3,10,45
GFSK,3,45,940,0,18,1766,3,1,0,2,222
PAM4,21,5,793,104,9,16,1996,16,2,4,34
QAM16,120,2,716,17,47,24,35,1365,595,53,26
QAM64,84,3,480,20,47,17,42,1165,1061,55,26
QPSK,81,3,1056,28,77,28,14,84,12,1579,38
WBFM,1,1280,795,0,5,139,1,1,0,0,778
