true/pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,1622,11,824,95,50,16,16,39,97,202,28
AM-DSB,14,1842,635,33,21,53,12,3,4,30,353
AM-SSB,49,32,2607,98,42,25,19,17,3,75,33
BPSK,52,15,815,1899,27,13,65,12,31,55,16
CPFSK,62,19,771,59,1852,33,12,22,49,96,25
GFSK,27,43,759,47,39,1914,9,11,13,26,112
PAM4,37,6,576,182,25,18,2033,23,35,46,19
QAM16,115,9,500,83,39,13,18,1495,596,120,12
QAM64,74,9,278,68,41,9,26,280,2073,130,12
QPSK,133,12,791,100,44,21,25,37,94,1727,16
WBFM,13,1321,674,22,22,143,7,10,3,29,756
