true/pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,1640,8,971,104,34,41,79,5,72,46,0
AM-DSB,8,1957,818,23,5,59,40,0,1,5,84
AM-SSB,11,3,2844,46,10,19,52,0,1,13,1
BPSK,38,4,946,1734,5,26,226,1,9,10,1
CPFSK,86,4,944,23,1761,57,69,0,32,23,1
GFSK,14,76,895,21,17,1825,40,0,2,4,106
PAM4,16,5,682,97,6,24,2136,1,20,13,0
QAM16,226,1,619,71,22,28,104,8,1875,45,1
QAM64,169,4,391,69,22,18,117,6,2164,40,0
QPSK,283,2,957,104,69,24,90,4,82,1384,1
WBFM,1,1574,847,14,13,179,32,0,0,6,334
