true/pred,8PSK,AM-DSB,AM-SSB,BPSK,CPFSK,GFSK,PAM4,QAM16,QAM64,QPSK,WBFM
8PSK,1610,16,948,134,42,16,21,5,75,125,8
AM-DSB,12,1698,766,37,4,43,21,0,0,4,415
AM-SSB,24,14,2795,92,11,9,24,1,0,28,2
BPSK,47,10,933,1867,11,10,66,0,15,36,5
CPFSK,77,20,913,55,1775,28,25,3,34,63,7
GFSK,11,109,889,32,51,1679,27,1,4,14,183
PAM4,29,12,656,209,11,11,1995,1,35,36,5
QAM16,213,4,589,108,30,7,32,10,1904,100,3
QAM64,157,8,381,105,18,9,35,2,2196,87,2
QPSK,166,13,936,117,51,10,39,3,84,1575,6
WBFM,7,1385,797,26,17,130,11,0,0,5,622
